시도,행정시,관광지,내/외국인구분,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,데이터기준일자
제주특별자치도,제주시,(주)제주미니미니랜드,내국인,289965,256889,207247,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,(주)제주미니미니랜드,외국인,6834,9430,10270,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,국립제주박물관,내국인,378495,449958,407345,370421,332779,349576,273663,219463,337930,358161,2021-06-30
제주특별자치도,제주시,국립제주박물관,외국인,6875,11350,16135,46037,13154,13572,32806,9778,5021,5356,2021-06-30
제주특별자치도,제주시,도립미술관,내국인,0,0,0,0,87322,142200,109270,91256,125093,126085,2021-06-30
제주특별자치도,제주시,도립미술관,외국인,0,0,0,0,1940,2028,3148,2143,1006,708,2021-06-30
제주특별자치도,제주시,만장굴관광지,내국인,588855,667348,644004,665682,576281,690838,704648,777643,678984,565772,2021-06-30
제주특별자치도,제주시,만장굴관광지,외국인,97841,118251,115632,112159,98492,63740,85160,55226,78488,76761,2021-06-30
제주특별자치도,제주시,민속자연사박물관,내국인,868889,942402,722635,582701,422494,376382,345149,316802,408872,307168,2021-06-30
제주특별자치도,제주시,민속자연사박물관,외국인,123903,113781,171320,263264,374213,380933,531025,88877,41727,84203,2021-06-30
제주특별자치도,제주시,비자림,내국인,170209,207369,325466,453110,544914,717089,805658,894318,863646,796129,2021-06-30
제주특별자치도,제주시,비자림,외국인,496,978,2039,8731,6695,2386,2345,2237,3865,3696,2021-06-30
제주특별자치도,제주시,산굼부리,내국인,697145,601781,468677,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,산굼부리,외국인,33834,29028,12491,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,삼성혈,내국인,79363,75488,67910,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,삼성혈,외국인,73084,66236,62331,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,삼양선사유적지,내국인,19738,31659,33112,35367,35654,41292,41728,47964,54536,47217,2021-06-30
제주특별자치도,제주시,삼양선사유적지,외국인,90,101,138,147,191,754,1589,998,610,514,2021-06-30
제주특별자치도,제주시,생각하는 정원,내국인,178956,216071,183396,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,생각하는 정원,외국인,13964,12907,18817,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,절물자연휴양림,내국인,526356,594036,558379,570867,546772,630355,754778,814242,811402,729749,2021-06-30
제주특별자치도,제주시,절물자연휴양림,외국인,1569,0,0,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,제주도립 김창열미술관,내국인,0,0,0,0,0,0,0,0,13679,42267,2021-06-30
제주특별자치도,제주시,제주도립 김창열미술관,외국인,0,0,0,0,0,0,0,0,39,170,2021-06-30
제주특별자치도,제주시,제주돌문화공원,내국인,206201,299120,358056,275048,207336,247651,219594,211024,197151,216722,2021-06-30
제주특별자치도,제주시,제주돌문화공원,외국인,2698,2131,5875,4201,5145,7402,10642,8800,8363,7948,2021-06-30
제주특별자치도,제주시,제주러브랜드,내국인,622645,586945,524553,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,제주러브랜드,외국인,107921,89512,126397,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,제주목관아지,내국인,115286,116003,135861,131463,134455,147742,167641,180628,188767,170170,2021-06-30
제주특별자치도,제주시,제주목관아지,외국인,4290,6331,5978,12363,11094,11127,15749,12566,17541,39475,2021-06-30
제주특별자치도,제주시,제주별빛누리공원,내국인,33456,50957,61644,69233,76074,97405,95196,102994,85589,39410,2021-06-30
제주특별자치도,제주시,제주별빛누리공원,외국인,53,148,2070,935,889,520,247,407,503,235,2021-06-30
제주특별자치도,제주시,제주항일기념관,내국인,50893,69568,88334,117060,125647,129000,151388,146279,147876,152636,2021-06-30
제주특별자치도,제주시,제주항일기념관,외국인,220,5556,979,691,392,193,393,439,1231,921,2021-06-30
제주특별자치도,제주시,한라산국립공원,내국인,1141632,1089383,1134286,1207661,1166202,1037008,859410,934979,808824,757856,2021-06-30
제주특별자치도,제주시,한라산국립공원,외국인,0,0,0,0,0,218723,206488,66458,80145,90423,2021-06-30
제주특별자치도,제주시,한림공원,내국인,961147,939640,767381,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,한림공원,외국인,26820,19311,26626,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,제주시,항몽 유적지,내국인,115467,118623,121901,124041,58552,60940,69324,83931,112193,113519,2021-06-30
제주특별자치도,제주시,항몽 유적지,외국인,331,285,196,553,609,376,573,670,2602,5937,2021-06-30
제주특별자치도,제주시,해녀 박물관,내국인,192293,189735,185631,223719,103011,123178,146495,167024,161549,135659,2021-06-30
제주특별자치도,제주시,해녀 박물관,외국인,18961,25066,33251,40522,22531,12356,16573,11272,23084,25791,2021-06-30
제주특별자치도,서귀포시,감귤박물관,내국인,76622,82051,88007,61365,50863,79508,88023,108389,135857,124392,2021-06-30
제주특별자치도,서귀포시,감귤박물관,외국인,2671,2620,1069,683,1386,1160,1543,1304,1357,2145,2021-06-30
제주특별자치도,서귀포시,기당미술관,내국인,8468,9905,10150,10190,9010,8821,10376,16995,21999,26212,2021-06-30
제주특별자치도,서귀포시,기당미술관,외국인,16,31,105,6,77,53,299,108,45,49,2021-06-30
제주특별자치도,서귀포시,마라해양도립공원,내국인,461555,410690,304351,254364,319815,458342,461563,685062,502999,876843,2021-06-30
제주특별자치도,서귀포시,마라해양도립공원,외국인,0,0,0,0,0,0,0,0,0,0,2021-06-30
제주특별자치도,서귀포시,박물관은살아있다,내국인,0,0,0,0,0,0,0,0,0,432957,2021-06-30
제주특별자치도,서귀포시,박물관은살아있다,외국인,0,0,0,0,0,0,0,0,0,27571,2021-06-30
제주특별자치도,서귀포시,산방산,내국인,743001,814477,654409,631449,516768,505425,506775,633273,452848,480607,2021-06-30
